date,day_of_week,is_weekend,is_holiday,month,season,temperature_celsius,max_temperature_celsius,min_temperature_celsius,humidity_percent,rainfall_mm,wind_speed_kmph,heat_index,region_name,state,area_type,population,number_of_households,industrial_activity_index,water_consumption_liters,prev_day_consumption,prev_7day_avg_consumption,prev_30day_avg_consumption,same_day_last_year_consumption,water_supplied_liters,water_loss_percentage,reservoir_level_percent,pipe_maintenance_flag,supply_restriction_flag,demand_supply_gap,consumption_per_capita,temperature_change_from_yesterday,rainfall_last_3_days,input_temperature,input_humidity,input_rainfall,input_day_type,scenario_temperature_change
2019-01-01,Tuesday,0,1,1,Winter,24.308678494144075,29.04631694066625,22.00637430668535,69.71532807151038,17.230298564080254,6.591576842195144,1.235543237868093,Tirupati,Andhra Pradesh,Urban,271958,67989,3,206221437813.3282,201392693252.89926,203807234817.96332,195910365922.6618,223004564656.58215,216532509703.9946,9.073164614375075,63.01405369644615,0,0,-22.249178325130327,758284.1387763118,-1.1245750584819454,8.504607264903246,24.308678494144075,69.71532807151038,17.230298564080254,Holiday,0.6284946651905478
2019-01-02,Wednesday,0,0,1,Winter,17.938481493323543,19.571629666899092,17.605713724193944,81.98473153382331,0.0,4.547019267733091,1.680999860362391,Tirupati,Andhra Pradesh,Urban,271958,67989,3,225985991272.5423,227512034100.06787,209887334713.78207,214686691708.91516,238721364636.78876,237285290836.16943,8.79872262016239,65.62459375310085,0,0,-5.1349722473793395,830959.1601370149,-2.1154218579118007,0.0,17.938481493323543,81.98473153382331,0.0,Weekday,-2.4416872999420445
2019-01-03,Thursday,0,0,1,Winter,15.201649380601122,15.548594227765843,14.298338293833256,40.07720926652354,3.968612358691235,3.5644340288977183,-24.335460871845047,Tirupati,Andhra Pradesh,Urban,271958,67989,3,203325317220.3236,218340212383.74106,205067492727.04623,193159051359.3074,181370934417.16357,213491583081.33978,9.078722458080424,85.85683339328374,0,0,-1.75916030605205,747634.992242639,-0.7701645608326331,2.6253918505491254,15.201649380601122,40.07720926652354,3.968612358691235,Weekday,1.2233525776817358
2019-01-04,Friday,0,0,1,Winter,29.656400595580994,31.093923309116864,29.099423665589544,47.41173715166042,0.0,4.680995077981915,-5.806379416671643,Tirupati,Andhra Pradesh,Urban,271958,67989,3,248937631879.67984,257184025293.87384,261080126566.5599,236490750285.69583,204270505244.06555,261384513473.66385,11.625051644788396,90.34360042856234,0,0,-1.3836397495236588,915353.2232171139,-1.2902395092102485,0.0,29.656400595580994,47.41173715166042,0.0,Weekday,3.0760731329319384
2019-01-05,Saturday,1,0,1,Winter,32.82321827907003,33.09850060867654,26.860511535267356,20.703823438653835,10.219025043752238,7.340984336487464,-17.475807800757757,Tirupati,Andhra Pradesh,Urban,271958,67989,3,210906619453.6148,212742499743.1609,207753487979.6879,200361288480.93405,222204230236.90427,221451950426.29556,12.955788089483033,62.22594672589529,0,0,-13.084936028931876,775511.7314203472,-1.003514087169073,14.896283626702902,32.82321827907003,20.703823438653835,10.219025043752238,Weekend,0.6575022193193689
2019-01-06,Sunday,1,0,1,Winter,27.56633716556678,28.74266162496325,23.175792321170423,61.456163240220604,11.686449905328892,8.888360831193728,-0.09476415449067588,Tirupati,Andhra Pradesh,Urban,271958,67989,3,205688573111.9756,191248143199.12753,202318755142.15048,195404144456.37683,213742986077.68155,215973001767.57437,10.010226913284923,66.4811929993728,0,0,-8.427145165267696,756324.7748254348,-1.6045545384432378,10.744021210413825,27.56633716556678,61.456163240220604,11.686449905328892,Weekend,0.8081017136290768
2019-01-07,Monday,0,0,1,Winter,25.872889064159196,26.053579693982275,18.483162726703338,63.86325586084146,1.2555408423383279,7.422917105656633,-0.45107230514337004,Tirupati,Andhra Pradesh,Urban,271958,67989,3,242797182360.87567,196209957893.89963,242475307648.2488,230657323242.83188,253779409120.92743,254937041478.91946,9.930576460589513,52.46982943570702,1,0,6.4282281451502055,892774.5547506441,1.5038660653735483,1.7521273008918052,25.872889064159196,63.86325586084146,1.2555408423383279,Weekday,-1.8187749095894779
2019-01-08,Tuesday,0,0,1,Winter,17.990744686038596,18.28969878130152,16.48031772369,68.80285640700406,23.904556258099785,3.3480097068016015,-5.589268579870648,Tirupati,Andhra Pradesh,Urban,271958,67989,3,215337686961.67972,194007706851.16324,209240424800.46414,204570802613.59573,217552315822.571,226104571309.7637,7.87539257254779,77.10388645952773,0,1,1.2054821596173513,791804.9366508053,-0.3218747537261267,19.263912173922897,17.990744686038596,68.80285640700406,23.904556258099785,Weekday,-1.7710247476576972
2019-01-09,Wednesday,0,0,1,Winter,27.780608992669826,28.754081866156508,27.163008841383313,75.65790916377986,7.264481613346957,3.6798756569486066,8.008577533149541,Tirupati,Andhra Pradesh,Urban,271958,67989,3,197634618596.89206,224589737903.1536,222725941346.15894,187752887667.04745,232933957664.13348,207516349526.73666,12.598793628528975,56.9928076592567,0,0,1.1764084551114493,726710.0750736954,2.4341415939602205,8.086415099892296,27.780608992669826,75.65790916377986,7.264481613346957,Weekday,1.6948028651532776
2019-01-10,Thursday,0,0,1,Winter,18.915725538203805,21.16926381219559,15.524441378842216,75.74021088481298,15.251056615142009,10.30993207979238,-0.8105873152825787,Tirupati,Andhra Pradesh,Urban,271958,67989,3,202982928888.8947,217892046631.0311,193295596396.42673,192833782444.44995,241602141923.32425,213132075333.33945,10.848972488112901,84.10803377443014,0,0,-18.698710567162966,746376.0172118294,-1.5435614989865172,21.95140662998554,18.915725538203805,75.74021088481298,15.251056615142009,Weekday,-0.4791890163876192
